Designator,Mid X,Mid Y,Rotation,Layer
_9,143.125305,-138.3,0.0,top
_8,143.125305,-124.65,0.0,top
_7,143.225305,-58.2,0.0,top
_6,127.125305,-138.3,0.0,top
_5,126.6,-166.969,0.0,top
_4,127.225305,-71.85,0.0,top
_3,143.225305,-71.85,0.0,top
_2,139.7,-174.269,0.0,top
,154.1,-165.069,0.0,top
100nF_5,153.734505,-40.406,180.0,top
100nF_4,142.937805,-162.994,0.0,top
100nF_3,153.747005,-43.256,0.0,top
100nF_2,142.375305,-166.969,0.0,top
100nF,128.912805,-56.006,0.0,top
10K_11,146.509505,-71.406,90.0,top
10K_10,126.575305,-40.35,180.0,top
10K_9,153.734505,-31.706,0.0,top
10K_8,146.509505,-58.606,90.0,top
10K_7,146.9,-132.0,180.0,top
10K_6,126.725305,-53.0,0.0,top
10K_5,153.697005,-46.206,180.0,top
10K_4,149.312805,-166.969,0.0,top
10K_3,126.575305,-34.706,0.0,top
10K_2,126.6,-37.4,180.0,top
10K,146.9,-130.3,0.0,top
10R,153.747005,-37.556,180.0,top
1K_2,153.734505,-34.656,180.0,top
1K,154.609505,-162.994,0.0,top
1uF,126.8,-172.569,0.0,top
2.2uF,126.512805,-164.494,0.0,top
22uF,126.575305,-31.706,180.0,top
4K7,139.687805,-162.994,0.0,top
B1,129.175305,-162.694,0.0,top
C4,126.8,-175.369,180.0,top
D2,136.3,-175.344,0.0,top
D4,132.8,-175.344,180.0,top
D6,129.075305,-169.294,270.0,top
DS1,140.125305,-110.1,0.0,top
G,147.100305,-162.994,0.0,top
J1,135.459505,-181.1,0.0,top
J2,149.5,-178.7,0.0,top
Q1,126.775305,-49.1,180.0,top
Q2,126.8,-44.2875,180.0,top
Q3,126.35,-170.469,180.0,top
Q4,153.409505,-50.906,180.0,top
R,150.525305,-162.994,180.0,top
R15,132.7,-173.469,0.0,top
R16,135.9,-173.469,0.0,top
R6,152.975305,-166.969,180.0,top
R9,146.012805,-166.969,180.0,top
SW1,128.175305,-65.05,270.0,top
SW10,134.11,-135.3,90.0,top
SW11,151.725305,-124.3,270.0,top
SW12,151.725305,-136.9,270.0,top
SW2,125.8,-182.219,180.0,top
SW4,135.025305,-58.2,270.0,top
SW5,141.875305,-65.05,270.0,top
SW6,135.025305,-71.875,270.0,top
SW7,151.775305,-58.725,270.0,top
SW8,151.775305,-71.35,270.0,top
SW9,130.725305,-123.75,270.0,top
U1,135.370305,-168.644,0.0,top
U2,135.175305,-163.094,180.0,top
U3,139.875305,-28.78,0.0,top
U5,127.1625,-178.255,180.0,top
